region_id,n_pixels,min_lat,max_lat,min_lon,max_lon,centroid_lat,centroid_lon,t_minutes,shift_meters
1,26,44.71832538804575,44.76332373978582,-81.645,-81.63,44.74390145121492,-81.638462,15,23150.0
13,8,44.69332630373279,44.70332593745915,-84.86,-84.845,44.69832612059617,-84.85375,15,23150.0
14,5,44.69332630373279,44.69832612059617,-84.815,-84.8,44.69732615722353,-84.809,15,23150.0
18,6,44.61332923385988,44.62332886760044,-85.065,-85.055,44.61666211178582,-85.059167,15,23150.0
25,19,44.568330882002265,44.60332960011735,-81.29,-81.27,44.583856313361295,-81.278684,15,23150.0
29,54,44.53333216386051,44.578330515752064,-81.22,-81.18,44.55870123469914,-81.200278,15,23150.0
33,234,44.468334544377136,44.56333106512655,-81.335,-81.195,44.50786309666921,-81.264209,15,23150.0
34,10,44.53833198073959,44.55833124825028,-81.175,-81.16,44.546831669432756,-81.168,15,23150.0
49,26,44.408336741679,44.443335459931596,-81.155,-81.12,44.428528002224816,-81.137115,15,23150.0
60,9,44.39333729098858,44.408336741679,-81.11,-81.095,44.401669985829606,-81.103333,15,23150.0
66,1837,44.118347360330645,44.38833747409031,-83.27,-82.825,44.22318552178095,-83.077964,15,23150.0
72,14,44.3433391219716,44.363338389587625,-83.295,-83.27,44.35262478192728,-83.282143,15,23150.0
86,167,44.25834223445727,44.3433391219716,-82.725,-82.64,44.3001067051221,-82.677006,15,23150.0
87,270,44.223343515995815,44.33833930506563,-83.38,-83.28,44.28169337939038,-83.331556,15,23150.0
88,12,44.31834003743366,44.33333948815885,-83.29,-83.265,44.32708971702424,-83.276667,15,23150.0
90,11,44.313340220523614,44.328339671251264,-82.485,-82.465,44.31970398748657,-82.473182,15,23150.0
106,25,44.27334168521301,44.29334095287512,-82.505,-82.435,44.28214136298604,-82.4698,15,23150.0
113,13,44.25834223445727,44.27834150212983,-83.275,-83.255,44.27103376972391,-83.264615,15,23150.0
119,76,44.19834443135274,44.25834223445727,-82.66,-82.57,44.223343515995815,-82.618158,15,23150.0
124,31,44.228343332921625,44.25334241753692,-82.835,-82.795,44.24221382503238,-82.816613,15,23150.0
126,6,44.248342600615686,44.25334241753692,-82.63,-82.615,44.25084250907641,-82.6225,15,23150.0
140,23,44.21834369906908,44.24334278369353,-82.425,-82.395,44.232691173719566,-82.40913,15,23150.0
149,10,44.21834369906908,44.228343332921625,-82.49,-82.47,44.22184357091789,-82.48,15,23150.0
150,228,44.113347543383114,44.223343515995815,-82.6,-82.415,44.16994647113251,-82.507697,15,23150.0
151,9,44.208344065212806,44.21834369906908,-83.43,-83.405,44.21223292281995,-83.416667,15,23150.0
172,26,44.12834699422258,44.15834589587374,-83.09,-83.055,44.14373143095725,-83.074423,15,23150.0
177,25,44.113347543383114,44.138346628110384,-82.62,-82.575,44.127347030833576,-82.5976,15,23150.0
178,853,43.95835321746015,44.138346628110384,-81.885,-81.695,44.03047857721047,-81.78197,15,23150.0
180,147,44.068349190807275,44.133346811166994,-83.36,-83.23,44.099845037729324,-83.293163,15,23150.0
182,14,44.118347360330645,44.12834699422258,-83.12,-83.08,44.12406115113701,-83.100357,15,23150.0
191,7,44.09834809253416,44.113347543383114,-82.62,-82.61,44.10691877875042,-82.614286,15,23150.0
210,6,44.07834882472059,44.083348641675606,-83.235,-83.215,44.08251567217097,-83.223333,15,23150.0
212,5,44.068349190807275,44.07834882472059,-83.265,-83.255,44.073349007764484,-83.259,15,23150.0
216,6,44.05334973992904,44.05834955688957,-83.3,-83.29,44.05584964840943,-83.295,15,23150.0
220,5,44.04335010600463,44.05334973992904,-82.5,-82.495,44.0483499229674,-82.497,15,23150.0
221,95,44.003351570261344,44.0483499229674,-83.605,-83.5,44.020508942177464,-83.546053,15,23150.0
225,17,44.02335083814219,44.03835028904072,-80.71,-80.68,44.030409579736336,-80.695294,15,23150.0
230,19,43.9983517532882,44.02335083814219,-80.615,-80.595,44.008614377605994,-80.602105,15,23150.0
233,16,43.993351936313886,44.01335120420409,-80.685,-80.66,44.004913513083515,-80.67375,15,23150.0
242,5,43.978352485383795,43.98835211933838,-81.705,-81.695,43.98335230236168,-81.7,15,23150.0
255,33,43.913354864559764,43.948353583491,-82.43,-82.38,43.92971826561287,-82.402424,15,23150.0
256,6,43.9383539495169,43.948353583491,-80.5,-80.49,43.9425207969945,-80.493333,15,23150.0
261,7,43.908355047564534,43.918354681553716,-80.4,-80.39,43.91264089069293,-80.393571,15,23150.0
276,6,43.86835651155611,43.88835577957074,-83.835,-83.83,43.87835614556605,-83.8325,15,23150.0
277,8,43.86835651155611,43.88835577957074,-83.815,-83.805,43.87835614556605,-83.81125,15,23150.0
282,6,43.87335632856175,43.88335596256904,-83.755,-83.745,43.880023084555,-83.751667,15,23150.0
